"","x"
"1","Ceratina calcarata or dupla"
"2","Hylaeus mesillae cressoni"
"3","Pseudopanugus sp. E4"
"4","Pseudopanugus sp. E3"
"5","Pseudopanugus sp. E2"
"6","Pseudopanugus sp. E1"
"7","Pseudopanugus n.sp. (aff. irregularis)"
"8","Pseudopanugus n. sp."
"9","Pseudopanugus irregularis"
"10","Pseudopanugus bakeri"
"11","Lasioglossum pectoralis"
"12","Lasioglossum nymphalis"
"13","Lasioglossum miniatulus"
"14","Lasioglossum mesillensis"
"15","Lasioglossum lusoria"
"16","Lasioglossum diversopunctatus"
"17","Eucera primaveris"
"18","Corynura scitulus"
"19","Chalepogenus herbst"
"20","Lasioglossum sp."
"21","Coelioxys sp."
"22","Agapostemon angelicus/texanus"
"23","Protandrena sp."
"24","Anthophorula sp."
"25","Triepeolus sp."
"26","Perdita sp."
"27","Nomada sp."
"28","Melissodes sp."
"29","Osmia sp."
"30","Dufourea sp."
"31","Andrena sp."
"32","Sphecodes sp."
"33","Colletes sp."
"34","Epeolus sp."
"35","Ashmeadiella gilletei"
"36","Ceratina calcarata/dupla"
"37","Melissodes subillata"
"38","Osmia lignaria propinqua"
"39","Lasioglossum minckleyi"
"40","Hylaeus nunemacheri"
"41","Bombus (Thoracobombus) pascuorum"
"42","Osmia (Melanosmia) xanthomelana"
"43","Osmia (Melanosmia) uncinata"
"44","Osmia (Melanosmia) parietina"
"45","Colletes (Colletes) succinctus"
"46","Colletes (Colletes) hederae"
"47","Colletes (Colletes) halophilus"
"48","Andrena (Poliandrena) florea"
"49","Andrena (Margandrena) marginata"
"50","Andrena (Leucandrena) argentata"
"51","Andrena (Cnemidandrena) fuscipes"
"52","Andrena (Andrena) lapponica"
"53","Melissodes lupina"
"54","Melissodes composita"
"55","Coelioxys moesta"
"56","Coelioxys modesta"
"57","Coelioxys mexicana"
"58","Coelioxys immaculata"
"59","Coelioxys germana"
"60","Lasioglossum zephyrum"
"61","Lasioglossum ornduffi"
"62","Lasioglossum megastictum"
"63","Lasioglossum atlanticum"
"64","Osmia rufa"
"65","Lithurgus gibbosus"
"66","Melissodes tessellata"
"67","Melissodes bimaculata"
"68","Lithurgus littoralis"
"69","Leioproctus fulvescens"
"70","Leioproctus maritimus"
"71","Leioproctus paahaumaa"
"72","Eufriesea coerulescens"
"73","Lipotriches tristemme"
"74","Capicola aliceae"
"75","Heriades canalicaulata"
"76","Thyreus calcaratus"
"77","Pachymelus micrephalus"
"78","Melissodes fumosa"
"79","Fidelia hessei"
"80","Lasioglossum pruinosiforme"
"81","Augochlora semiramis"
"82","Thrinchostoma bequaerti"
"83","Patellapis perpansa"
"84","Patellapis neli"
"85","Leioproctus andinus"
"86","Haplomelitta ogilviei"
"87","Haplomelitta griseonigra"
"88","Hesperapis gessorum"
"89","Hesperapis rhodostoma"
"90","Hesperapis richtersveldensis"
"91","Compsomelissa angustula"
"92","Compsomelissa spatulata"
"93","Compsomelissa spinipennis"
"94","Compsomelissa acaciae"
"95","Compsomelissa rufa"
"96","Compsomelissa curtipilosa"
"97","Compsomelissa ankaratrensis"
"98","Compsomelissa seyrigi"
"99","Compsomelissa pentagonalis"
"100","Compsomelissa didyensis"
"101","Compsomelissa benoisti"
"102","Bombus atratus"
"103","Anthidiellum spilotum"
"104","Coelioxys foveolata"
"105","Afranthidium sjoestedti"
"106","Afranthidium junodi"
"107","Afranthidium braunsi"
"108","Afranthidium minutulum"
"109","Afranthidium karooense"
"110","Heriades frontosus"
"111","Heriades carinatus"
"112","Heriades variolosus"
"113","Heriades crucifer"
"114","Megachile accraensis"
"115","Megachile reicherti"
"116","Megachile subanograe"
"117","Afroheriades larvatus"
"118","Epanthidium inerme"
"119","Augochlorella striata"
"120","Hemicotelles ruizii"
"121","Melissodes illata"
"122","Melissodes gelida"
"123","Braunsapis langenburgensis"
"124","Coelioxys conoidea"
"125","Coelioxys quadridentata"
"126","Coelioxys funeraria"
"127","Coelioxys elongata"
"128","Coelioxys alternata"
"129","Coelioxys afra"
"130","Lasioglossum rohweri"
"131","Lasioglossum nymphaearum"
"132","Lasioglossum divergens"
"133","Corynura chloris"
"134","Hylaeus nippon"
"135","Hylaeus gaigei"
"136","Colletes araucariae"
"137","Bombus pleuralis"
"138","Melissodes druriella"
