"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff"
"beta_p[1]",-6.03957674831277,0.508097570101569,-7.01512175552522,-6.051339823402,-4.99063825645617,1.04,208
"beta_p[2]",0.522614993126173,0.453579473924159,-0.396096974713774,0.530711900497181,1.40602043595954,1.01,531
"beta_p[3]",0.652108057666575,0.262276957876648,0.149922968377361,0.646528317306934,1.17136014048074,1,874
"beta_p[4]",-1.39961586170769,0.100485530854232,-1.59849726988396,-1.39936296052145,-1.20446565157929,1,45619
"beta_p[5]",-1.1311082114282,0.0671070699824319,-1.26277711301164,-1.13083022360751,-0.9999691970602,1,35247
"beta_p[6]",-1.45420978850375,0.102145771862636,-1.65704230264418,-1.45361460039595,-1.2563964244676,1,45325
"beta_p[7]",-0.423431919354892,0.165594073778127,-0.748308584461547,-0.422556478285493,-0.100026652892155,1,1425
"beta_p[8]",0.183492759023937,0.125448207097719,-0.062711079466696,0.182646965806634,0.429788256151479,1,1105
"beta_p[9]",0.239192565229873,0.129439983166058,-0.0166347967247114,0.239257033506064,0.492315731963672,1.01,1298
"beta_p[10]",1.26377277053375,0.112092165123794,1.04251648623836,1.2645535149878,1.48375885544178,1,762
"beta_psi[1]",-0.43395215369417,1.71571645826399,-3.58194203863769,-0.394970572994169,3.16892955644881,1.24,14
"beta_psi[2]",-0.731765357743722,0.393864460769906,-1.45767598684682,-0.752774140684494,0.11619039459518,1.02,166
"beta_psi[3]",1.84133829536928,1.21699363331106,-0.278904151342798,1.79495349653144,4.46992919610934,1.5,28
"beta_psi[4]",0.289556478363354,0.343976353721243,-0.368049487333674,0.28402334941834,0.975287197012799,1.01,990
"beta_psi[5]",0.826244428277919,0.267684128028432,0.29924139244244,0.829168169176132,1.34679450609635,1,1058
"beta_psi[6]",-0.41959073403696,0.248018475648424,-0.911673097667494,-0.420007673861929,0.0621228255297081,1.01,769
"beta_psi[7]",-2.52889286972427,0.581606066570033,-3.95700501594879,-2.44641643323711,-1.63623309959296,1,106
"sigma_p",2.02092093435172,0.277088769199501,1.49962909328221,2.01399197889179,2.59379075401908,1.03,300
"sigma_psi",2.20310327843551,0.640327353585529,1.23342423117564,2.11189898392889,3.75561917011496,1.06,107
